pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
Kepler-295 d,33.88489000,0.197000,1.720,,,,0.000000,541,5631.00,0.94,0.89,,4.44
Kepler-295 d,33.88405400,0.192000,1.360,0.121,,,,,5603.00,0.90,,,4.44
Kepler-296 b,10.86443187,0.069600,35.380,,,,0.000000,358,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 b,3.62138700,0.033410,1.010,0.090,,,,515,3517.00,0.37,0.38,-0.070,
Kepler-296 b,,0.082000,2.150,0.192,,,,495,3821.00,0.59,0.63,0.300,
Kepler-296 b,10.86443187,,35.250,3.145,,,,,3558.00,0.37,0.38,-0.230,4.89
Kepler-296 b,10.86443187,0.069600,35.380,,,,0.000000,358,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 b,3.62145700,0.039000,0.940,0.084,,,,,4249.00,0.56,,,4.73
Kepler-296 b,3.62200000,,0.470,0.042,,,,,3424.00,0.22,0.21,-0.500,5.08
Kepler-296 b,10.86437311,,,,,,,,,,,,
Kepler-296 b,10.86440950,,,,,,,,,,,,
Kepler-296 b,10.86443187,0.069600,35.380,,,,0.000000,358,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 b,,,0.987,0.088,,,,,3622.00,0.45,0.48,,
Kepler-296 b,10.86438400,0.079000,1.610,0.144,,,0.330000,,3740.00,0.48,0.50,-0.080,4.77
Kepler-296 b,10.86431000,0.077000,1.530,,,,0.000000,434,3862.00,0.50,0.52,,4.75
Kepler-296 b,10.86440950,0.070400,1.140,,,,0.000000,363,3526.00,0.38,0.39,-0.080,4.87
Kepler-296 c,5.84161806,0.045950,1.530,0.136,,,,439,3517.00,0.37,0.38,-0.070,
Kepler-296 c,,,1.726,0.154,,,,,3622.00,0.45,0.48,,
Kepler-296 c,5.84162170,,,,,,,,,,,,
Kepler-296 c,5.84163661,,,,,,,,,,,,
Kepler-296 c,5.84163878,,,,,,,,,,,,
Kepler-296 c,5.84164124,0.046000,1.520,,,,0.000000,440,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 c,5.84163661,0.046500,1.380,,,,0.000000,446,3526.00,0.38,0.39,-0.080,4.87
Kepler-296 c,5.84164124,0.046000,1.520,,,,0.000000,440,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 c,5.84163660,0.052100,2.000,0.178,,,0.330000,,3740.00,0.48,0.50,-0.080,4.77
Kepler-296 c,5.84164800,0.054000,2.150,0.192,,,,,4249.00,0.56,,,4.73
Kepler-296 c,5.84164124,,1.520,0.136,,,,,3558.00,0.37,0.38,-0.230,4.89
Kepler-296 c,5.84164124,0.046000,1.520,,,,0.000000,440,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 c,,0.054000,3.350,0.299,,,,606,3821.00,0.59,0.63,0.300,
Kepler-296 c,5.84200000,,0.840,0.075,,,,,3424.00,0.22,0.21,-0.500,5.08
Kepler-296 c,5.84164100,0.051000,1.890,,,,0.000000,533,3862.00,0.50,0.52,,4.75
Kepler-296 d,19.85000000,,0.920,0.082,,,,,3424.00,0.22,0.21,-0.500,5.08
Kepler-296 d,19.85028393,,1.650,0.147,,,,,3558.00,0.37,0.38,-0.230,4.89
Kepler-296 d,19.85028393,0.104000,1.650,,,,0.000000,293,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 d,19.85028256,,,,,,,,,,,,
Kepler-296 d,19.85029495,,,,,,,,,,,,
Kepler-296 d,19.85028349,,,,,,,,,,,,
Kepler-296 d,,0.123000,2.690,0.240,,,,403,3821.00,0.59,0.63,0.300,
Kepler-296 d,19.85029100,0.118000,2.090,0.186,,,0.330000,,3740.00,0.48,0.50,-0.080,4.77
Kepler-296 d,19.85028393,0.104000,1.650,,,,0.000000,293,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 d,19.85025000,0.115000,1.990,,,,0.000000,355,3862.00,0.50,0.52,,4.75
Kepler-296 d,19.85028393,0.104000,1.650,,,,0.000000,293,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 d,19.85024200,0.122000,2.280,0.203,,,,,4249.00,0.56,,,4.73
Kepler-296 d,,,1.874,0.167,,,,,3622.00,0.45,0.48,,
Kepler-296 d,19.85029495,0.105200,1.520,,,,0.000000,297,3526.00,0.38,0.39,-0.080,4.87
Kepler-296 d,19.85037041,0.103860,1.450,0.129,,,,292,3517.00,0.37,0.38,-0.070,
Kepler-296 e,34.14197500,,,,,,,,,,,,
Kepler-296 e,34.14204000,0.149000,1.480,0.132,,,0.100000,,3572.00,0.43,0.45,-0.120,4.83
Kepler-296 e,34.14176909,,,,,,,,,,,,
Kepler-296 e,34.14205060,,,,,,,,,,,,
Kepler-296 e,34.14211000,0.169000,1.530,0.136,,,0.330000,,3740.00,0.48,0.50,-0.080,4.77
Kepler-296 e,34.14234700,0.174000,1.750,0.156,,,,,4249.00,0.56,,,4.73
Kepler-296 e,34.14189000,0.149200,1.080,,,,0.000000,244,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 e,,0.176000,1.860,0.166,,,,337,3821.00,0.59,0.63,0.300,
Kepler-296 e,34.14247000,0.165000,1.400,,,,0.000000,297,3862.00,0.50,0.52,,4.75
Kepler-296 e,34.14205060,0.151000,1.060,,,,0.000000,248,3526.00,0.38,0.39,-0.080,4.87
Kepler-296 e,34.14189000,,1.090,0.097,,,,,3558.00,0.37,0.38,-0.230,4.89
Kepler-296 e,34.14189000,0.149200,1.080,,,,0.000000,244,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 e,34.14189000,0.149200,1.080,,,,0.000000,244,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 f,63.33547190,0.227900,1.180,,,,0.000000,202,3526.00,0.38,0.39,-0.080,4.87
Kepler-296 f,63.33627000,0.255000,1.800,0.161,,,0.330000,,3740.00,0.48,0.50,-0.080,4.77
Kepler-296 f,63.33771411,,,,,,,,,,,,
Kepler-296 f,63.33547190,,,,,,,,,,,,
Kepler-296 f,63.33666060,0.225300,1.230,,,,0.000000,199,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 f,,0.266000,2.080,0.186,,,,274,3821.00,0.59,0.63,0.300,
Kepler-296 f,63.33666060,,1.210,0.108,,,,,3558.00,0.37,0.38,-0.230,4.89
Kepler-296 f,63.33587900,0.263000,1.790,0.160,,,,,4249.00,0.56,,,4.73
Kepler-296 f,63.33666060,0.225300,1.230,,,,0.000000,199,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 f,63.33828000,0.249000,1.610,,,,0.000000,241,3862.00,0.50,0.52,,4.75
Kepler-296 f,63.33666060,0.225300,1.230,,,,0.000000,199,3517.00,0.37,0.38,-0.070,4.88
Kepler-296 f,63.33600000,0.283000,1.750,0.156,,,0.120000,,3572.00,0.43,0.45,-0.120,4.83
Kepler-297 b,38.86872408,,,,,,,,5783.00,0.89,1.04,,4.55
Kepler-297 b,38.87182600,0.217000,2.870,0.256,,,,,5619.00,0.92,,,4.47
Kepler-297 b,38.86840425,0.228000,3.310,,,,0.000000,579,6150.00,1.04,1.04,-0.120,4.42
Kepler-297 b,38.86848956,,,,,,,,5783.00,0.89,1.04,,4.55
Kepler-297 b,38.86848956,0.212500,2.810,,,,0.000000,509,5618.00,0.90,0.85,-0.220,4.46
Kepler-297 b,38.86840425,0.228000,3.310,,,,0.000000,579,6150.00,1.04,1.04,-0.120,4.42
Kepler-297 b,38.86800000,,3.240,0.289,48.50000,0.15300,,,,1.04,1.04,,
Kepler-297 b,,,2.785,0.248,,,,,5693.00,0.89,,,
Kepler-297 b,38.86840425,,3.010,0.269,,,,,5801.00,0.95,0.98,-0.100,4.47
Kepler-297 b,38.86840425,0.228000,3.310,,,,0.000000,579,6150.00,1.04,1.04,-0.120,4.42
Kepler-297 b,38.87135000,0.230000,3.200,,,,0.000000,575,6138.00,1.04,1.07,,4.43
Kepler-297 c,74.92011900,0.355000,7.700,,,,0.000000,463,6138.00,1.04,1.07,,4.43
Kepler-297 c,74.92771752,0.353200,7.540,,,,0.000000,466,6150.00,1.04,1.04,-0.120,4.42
Kepler-297 c,74.92013700,0.336000,6.540,0.583,,,,,5619.00,0.92,,,4.47
Kepler-297 c,74.92400000,,7.390,0.659,42.10000,0.13200,,,,1.04,1.04,,
Kepler-297 c,74.92771752,0.353200,7.540,,,,0.000000,466,6150.00,1.04,1.04,-0.120,4.42
Kepler-297 c,74.92768653,,,,,,,,5783.00,0.89,1.04,,4.55
Kepler-297 c,74.92847668,,,,,,,,5783.00,0.89,1.04,,4.55
Kepler-297 c,,,6.322,0.564,,,,,5693.00,0.89,,,
Kepler-297 c,74.92768653,0.329200,6.390,,,,0.000000,409,5618.00,0.90,0.85,-0.220,4.46
Kepler-297 c,74.92771752,,6.860,0.612,,,,,5801.00,0.95,0.98,-0.100,4.47
Kepler-297 c,74.92771752,0.353200,7.540,,,,0.000000,466,6150.00,1.04,1.04,-0.120,4.42
Kepler-298 b,10.47548084,0.081100,2.110,,,,0.000000,540,4463.00,0.61,0.66,-0.240,4.68
Kepler-298 b,10.47546118,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 b,10.47548084,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 b,10.47546400,0.080000,1.960,0.175,,,,,4465.00,0.58,,,4.71
Kepler-298 b,,,2.326,0.208,,,,,4465.00,0.68,,,
Kepler-298 b,10.47548192,,2.200,0.196,,,,,4612.00,0.65,0.69,-0.210,4.65
Kepler-298 b,10.47548192,0.081900,2.210,,,,0.000000,566,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 b,10.47548192,0.081900,2.210,,,,0.000000,566,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 b,10.47548644,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 b,10.47542600,0.082000,2.240,,,,0.000000,571,4655.00,0.64,0.66,,4.65
Kepler-298 b,10.47548192,0.081900,2.210,,,,0.000000,566,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 c,22.92874729,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 c,22.92881000,0.136000,1.930,0.172,,,,,4465.00,0.58,,,4.71
Kepler-298 c,22.92886314,0.136700,2.080,,,,0.000000,416,4463.00,0.61,0.66,-0.240,4.68
Kepler-298 c,,,2.297,0.205,,,,,4465.00,0.68,,,
Kepler-298 c,22.92884482,0.138100,2.260,,,,0.000000,436,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 c,22.92886314,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 c,22.92884482,,2.270,0.203,,,,,4612.00,0.65,0.69,-0.210,4.65
Kepler-298 c,22.92884482,0.138100,2.260,,,,0.000000,436,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 c,22.92884482,0.138100,2.260,,,,0.000000,436,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 c,22.92927000,0.138000,2.580,,,,0.000000,440,4655.00,0.64,0.66,,4.65
Kepler-298 d,77.47407240,0.311000,2.890,,,,0.000000,291,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 d,77.47407240,,2.910,0.260,,,,,4612.00,0.65,0.69,-0.210,4.65
Kepler-298 d,77.47394661,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 d,,,2.904,0.259,,,,,4465.00,0.68,,,
Kepler-298 d,77.47407240,0.311000,2.890,,,,0.000000,291,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 d,77.47363300,0.305000,2.500,0.223,,,,,4465.00,0.58,,,4.71
Kepler-298 d,77.48140000,0.310000,2.550,,,,0.000000,294,4655.00,0.64,0.66,,4.65
Kepler-298 d,77.47409910,0.307800,2.630,,,,0.000000,277,4463.00,0.61,0.66,-0.240,4.68
Kepler-298 d,77.47409910,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-298 d,77.47407240,0.311000,2.890,,,,0.000000,291,4549.00,0.65,0.67,-0.200,4.63
Kepler-298 d,77.47347082,,,,,,,,4549.00,0.69,0.72,,4.61
Kepler-299 b,2.92721559,0.040200,1.220,,,,0.000000,1241,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 b,2.92716200,0.040000,1.190,,,,0.000000,1229,5885.00,0.90,1.00,,4.53
Kepler-299 b,2.92721119,0.038700,1.290,,,,0.000000,1258,5616.00,1.00,0.90,-0.020,4.39
Kepler-299 b,,,1.288,0.115,,,,,5678.00,1.00,,,
Kepler-299 b,2.92721119,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 b,2.92721559,0.040200,1.220,,,,0.000000,1241,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 b,2.92714670,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 b,2.92721559,0.040200,1.220,,,,0.000000,1241,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 b,2.92721559,,1.250,0.112,,,,,5650.00,0.96,0.95,-0.010,4.45
Kepler-299 b,2.92712800,0.040000,1.320,0.118,,,,,5617.00,1.03,,,4.39
Kepler-299 c,6.88595559,,2.100,0.187,,,,,5650.00,0.96,0.95,-0.010,4.45
Kepler-299 c,6.88595222,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 c,6.88595434,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 c,,,2.685,0.240,,,,,5678.00,1.00,,,
Kepler-299 c,6.88595222,0.068500,2.680,,,,0.000000,946,5616.00,1.00,0.90,-0.020,4.39
Kepler-299 c,6.88595559,0.071100,1.980,,,,0.000000,933,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 c,6.88595559,0.071100,1.980,,,,0.000000,933,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 c,6.88587500,0.070000,2.650,0.236,,,,,5617.00,1.03,,,4.39
Kepler-299 c,6.88595559,0.071100,1.980,,,,0.000000,933,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 c,6.88584100,0.071000,1.890,,,,0.000000,922,5885.00,0.90,1.00,,4.53
Kepler-299 d,15.05486890,,1.790,0.160,,,,,5650.00,0.96,0.95,-0.010,4.45
Kepler-299 d,15.05478600,0.118000,1.860,0.166,,,,,5617.00,1.03,,,4.39
Kepler-299 d,15.05486890,0.119700,1.730,,,,0.000000,719,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 d,15.05482000,0.119000,1.570,,,,0.000000,712,5885.00,0.90,1.00,,4.53
Kepler-299 d,15.05486890,0.119700,1.730,,,,0.000000,719,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 d,,,1.598,0.143,,,,,5678.00,1.00,,,
Kepler-299 d,15.05493560,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 d,15.05493560,0.115400,1.600,,,,0.000000,729,5616.00,1.00,0.90,-0.020,4.39
Kepler-299 d,15.05500668,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 d,15.05486890,0.119700,1.730,,,,0.000000,719,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 e,38.28437000,0.223000,1.640,,,,0.000000,520,5885.00,0.90,1.00,,4.53
Kepler-299 e,38.28608320,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 e,38.28563380,0.223100,1.710,,,,0.000000,527,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 e,38.28548900,0.220000,1.870,0.167,,,,,5617.00,1.03,,,4.39
Kepler-299 e,38.28563380,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 e,38.28563380,0.214900,1.770,,,,0.000000,534,5616.00,1.00,0.90,-0.020,4.39
Kepler-299 e,38.28602037,,,,,,,,5631.00,1.00,1.00,,4.44
Kepler-299 e,,,1.774,0.158,,,,,5678.00,1.00,,,
Kepler-299 e,38.28563380,,1.780,0.159,,,,,5650.00,0.96,0.95,-0.010,4.45
Kepler-299 e,38.28563380,0.223100,1.710,,,,0.000000,527,5896.00,0.92,1.01,-0.080,4.52
Kepler-299 e,38.28563380,0.223100,1.710,,,,0.000000,527,5896.00,0.92,1.01,-0.080,4.52
Kepler-30 b,29.32900000,0.180000,3.600,0.321,63.56600,0.20000,,,5498.00,0.95,0.99,0.180,4.77
Kepler-30 b,29.15986150,0.184700,1.910,,,,0.000000,524,5485.00,0.87,0.99,0.210,4.56
Kepler-30 b,29.32300000,,1.900,0.170,8.80000,0.02769,,,,,1.00,,
Kepler-30 b,29.31200000,,3.560,0.318,78.60000,0.24700,,,,0.87,0.99,,
Kepler-30 b,29.32011657,,,,,,,,5006.60,1.01,0.83,0.199,4.35
Kepler-30 b,29.15986150,0.184700,1.910,,,,0.000000,524,5485.00,0.87,0.99,0.210,4.56
Kepler-30 b,,,1.841,0.164,,,,,5464.00,0.84,,,
Kepler-30 b,29.16470000,0.184000,1.370,,,,0.000000,544,5461.00,0.94,0.97,,4.48
Kepler-30 b,29.33434000,0.180000,3.900,0.348,11.30000,0.03600,0.042000,,5498.00,0.95,0.99,0.180,4.77
Kepler-30 b,29.15986150,,,,,,,,5006.60,1.01,0.83,0.199,4.35
Kepler-30 c,60.32501598,,,,,,,,5006.60,1.01,0.83,0.199,4.35
Kepler-30 c,60.32510000,0.300000,14.300,1.276,2892.25300,9.10000,,,5498.00,0.95,0.99,0.180,4.77
Kepler-30 c,60.32488611,,12.770,1.139,,,,,5452.00,0.86,0.95,0.120,4.55
Kepler-30 c,,,11.747,1.048,,,,,5464.00,0.84,,,
Kepler-30 c,60.32488611,0.299800,12.880,,,,0.000000,411,5485.00,0.87,0.99,0.210,4.56
Kepler-30 c,60.32494216,0.299800,12.190,,,,0.000000,411,5485.00,0.87,0.99,0.210,4.56
Kepler-30 c,60.32488611,0.299800,12.880,,,,0.000000,411,5485.00,0.87,0.99,0.210,4.56
Kepler-30 c,60.32488611,0.299800,12.880,,,,0.000000,411,5485.00,0.87,0.99,0.210,4.56
Kepler-30 c,60.32292100,0.298000,14.000,,,,0.000000,428,5461.00,0.94,0.97,,4.48
Kepler-30 c,60.32310500,0.300000,12.300,1.097,640.00000,2.01000,0.011100,,5498.00,0.95,0.99,0.180,4.77
Kepler-30 c,60.32600000,,11.230,1.002,1603.80000,5.04600,,,,0.87,0.99,,
Kepler-30 c,60.33200000,,13.100,1.169,527.70000,1.66032,,,,,1.00,,
Kepler-30 c,60.32494216,,,,,,,,5006.60,1.01,0.83,0.199,4.35
Kepler-30 d,143.20635180,0.533600,9.360,,,,0.000000,308,5485.00,0.87,0.99,0.210,4.56
Kepler-30 d,143.21300000,0.500000,10.600,0.946,5403.11000,17.00000,,,5498.00,0.95,0.99,0.180,4.77
Kepler-30 d,,,8.581,0.766,,,,,5464.00,0.84,,,
Kepler-30 d,143.20635180,0.533600,9.360,,,,0.000000,308,5485.00,0.87,0.99,0.210,4.56
Kepler-30 d,143.20630470,0.533600,8.900,,,,0.000000,308,5485.00,0.87,0.99,0.210,4.56
Kepler-30 d,143.20630470,,,,,,,,5006.60,1.01,0.83,0.199,4.35
Kepler-30 d,143.21515000,0.530000,9.370,,,,0.000000,321,5461.00,0.94,0.97,,4.48
Kepler-30 d,143.20635180,,9.290,0.829,,,,,5452.00,0.86,0.95,0.120,4.55
Kepler-30 d,143.20635180,0.533600,9.360,,,,0.000000,308,5485.00,0.87,0.99,0.210,4.56
Kepler-30 d,143.20776601,,,,,,,,5006.60,1.01,0.83,0.199,4.35
Kepler-30 d,143.34394000,0.500000,8.800,0.785,23.10000,0.07300,0.022000,,5498.00,0.95,0.99,0.180,4.77
Kepler-300 b,10.44636649,0.092600,1.880,,,,0.000000,812,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 b,10.44636649,,2.430,0.217,,,,,5965.00,1.10,1.07,0.040,4.38
Kepler-300 b,10.44641752,,,,,,,,5886.00,1.42,1.07,,4.16
Kepler-300 b,10.44635944,0.092600,2.180,,,,0.000000,812,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 b,10.44635944,,,,,,,,5886.00,1.42,1.07,,4.16
Kepler-300 b,,,3.474,0.310,,,,,5986.00,1.40,,,
Kepler-300 b,10.44636649,0.092600,1.880,,,,0.000000,812,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 b,10.44636200,0.095000,2.150,,,,0.000000,828,5993.00,0.93,1.03,,4.51
Kepler-300 b,10.44634700,0.094000,1.670,0.149,,,,,5986.00,0.90,,,4.53
Kepler-300 b,10.44637231,,,,,,,,5886.00,1.42,1.07,,4.16
Kepler-300 b,10.44636649,0.092600,1.880,,,,0.000000,812,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 c,40.71474195,,,,,,,,5886.00,1.42,1.07,,4.16
Kepler-300 c,40.71511030,,2.650,0.236,,,,,5965.00,1.10,1.07,0.040,4.38
Kepler-300 c,40.71524000,0.234000,2.260,,,,0.000000,527,5993.00,0.93,1.03,,4.51
Kepler-300 c,40.71511030,0.229300,2.150,,,,0.000000,516,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 c,40.71511030,0.229300,2.150,,,,0.000000,516,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 c,40.71511030,0.229300,2.150,,,,0.000000,516,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 c,40.71504980,,,,,,,,5886.00,1.42,1.07,,4.16
Kepler-300 c,40.71504980,0.229300,2.200,,,,0.000000,516,5968.00,0.88,0.97,-0.260,4.53
Kepler-300 c,40.71515819,,,,,,,,5886.00,1.42,1.07,,4.16
Kepler-300 c,,,3.502,0.312,,,,,5986.00,1.40,,,
Kepler-300 c,40.71495500,0.232000,2.250,0.201,,,,,5986.00,0.90,,,4.53
Kepler-301 b,2.50856700,0.036000,1.410,,,,0.000000,1283,5811.00,0.90,0.97,,4.51
Kepler-301 b,2.50855300,0.036000,1.350,0.120,,,,,5815.00,0.90,,,4.53
Kepler-301 b,2.50855329,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 b,2.50855329,0.035500,1.280,,,,0.000000,1278,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 b,2.50856212,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 b,,,1.383,0.123,,,,,5656.00,0.95,,,
Kepler-301 b,2.50855410,0.035500,1.330,,,,0.000000,1278,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 b,2.50855410,,1.470,0.131,,,,,5717.00,0.96,0.98,0.010,4.47
Kepler-301 b,2.50855410,0.035500,1.330,,,,0.000000,1278,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 b,2.50855410,0.035500,1.330,,,,0.000000,1278,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 c,,,1.495,0.133,,,,,5656.00,0.95,,,
Kepler-301 c,5.41908491,0.059300,1.380,,,,0.000000,989,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 c,5.41907559,0.059300,1.390,,,,0.000000,989,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 c,5.41907559,0.059300,1.390,,,,0.000000,989,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 c,5.41911500,0.060000,1.500,,,,0.000000,994,5811.00,0.90,0.97,,4.51
Kepler-301 c,5.41907559,0.059300,1.390,,,,0.000000,989,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 c,5.41911291,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 c,5.41907559,,1.480,0.132,,,,,5717.00,0.96,0.98,0.010,4.47
Kepler-301 c,5.41908491,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 c,5.41902600,0.060000,1.350,0.120,,,,,5815.00,0.90,,,4.53
Kepler-301 d,13.75134642,0.110300,1.960,,,,0.000000,725,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 d,13.75129636,0.110300,1.660,,,,0.000000,725,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 d,13.75135000,0.111000,1.900,,,,0.000000,731,5811.00,0.90,0.97,,4.51
Kepler-301 d,13.75124300,0.112000,1.750,0.156,,,,,5815.00,0.90,,,4.53
Kepler-301 d,,,1.797,0.160,,,,,5656.00,0.95,,,
Kepler-301 d,13.75134642,0.110300,1.960,,,,0.000000,725,5814.00,0.88,0.94,-0.180,4.52
Kepler-301 d,13.75130391,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 d,13.75134642,,2.110,0.188,,,,,5717.00,0.96,0.98,0.010,4.47
Kepler-301 d,13.75125295,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 d,13.75129636,,,,,,,,5627.92,0.96,1.00,0.187,4.47
Kepler-301 d,13.75134642,0.110300,1.960,,,,0.000000,725,5814.00,0.88,0.94,-0.180,4.52
Kepler-302 b,30.18368540,0.187800,2.880,,,,0.000000,568,5938.00,0.88,0.97,-0.240,4.53
Kepler-302 b,30.18376000,0.191000,2.800,,,,0.000000,577,5952.00,0.92,1.02,,4.52
Kepler-302 b,30.18360507,,,,,,,,5756.00,1.06,1.03,0.180,4.40
Kepler-302 b,30.18370210,0.188200,3.650,,,,0.000000,634,5733.00,1.18,0.97,0.060,4.28
Kepler-302 b,30.18269915,,,,,,,,5756.00,1.06,1.03,0.180,4.40
Kepler-302 b,30.18368540,0.187800,2.880,,,,0.000000,568,5938.00,0.88,0.97,-0.240,4.53
Kepler-302 b,30.18370210,,,,,,,,5756.00,1.06,1.03,0.180,4.40
Kepler-302 b,30.18368540,0.187800,2.880,,,,0.000000,568,5938.00,0.88,0.97,-0.240,4.53
Kepler-302 b,,,3.336,0.298,,,,,5703.00,1.08,,,
Kepler-302 b,30.18410400,0.193000,4.060,0.362,,,,,5740.00,1.22,,,4.29
Kepler-302 b,30.18368540,,3.620,0.323,,,,,5781.00,1.11,1.02,0.060,4.35
Kepler-302 c,,,10.990,0.980,,,,,5703.00,1.08,,,
Kepler-302 c,127.28240310,0.490200,9.320,,,,0.000000,352,5938.00,0.88,0.97,-0.240,4.53
Kepler-302 c,127.28144000,0.499000,9.700,,,,0.000000,357,5952.00,0.92,1.02,,4.52
Kepler-302 c,127.28240310,,11.750,1.048,,,,,5781.00,1.11,1.02,0.060,4.35
Kepler-302 c,127.28244420,,,,,,,,5756.00,1.06,1.03,0.180,4.40
Kepler-302 c,127.28249268,,,,,,,,5756.00,1.06,1.03,0.180,4.40
Kepler-302 c,127.28244420,0.491300,12.040,,,,0.000000,392,5733.00,1.18,0.97,0.060,4.28
Kepler-302 c,127.28240310,0.490200,9.320,,,,0.000000,352,5938.00,0.88,0.97,-0.240,4.53
Kepler-302 c,127.28240310,0.490200,9.320,,,,0.000000,352,5938.00,0.88,0.97,-0.240,4.53
Kepler-302 c,127.28254631,,,,,,,,5756.00,1.06,1.03,0.180,4.40
Kepler-302 c,127.28218400,0.503000,12.450,1.111,,,,,5740.00,1.22,,,4.29
Kepler-303 b,1.93702997,0.024200,0.870,,,,0.000000,802,4042.00,0.49,0.51,-0.620,4.76
Kepler-303 b,1.93703207,0.024500,0.950,,,,0.000000,794,3944.00,0.51,0.52,-0.360,4.74
Kepler-303 b,1.93703854,,,,,,,,4066.55,0.62,0.64,-0.414,4.65
Kepler-303 b,1.93703400,0.025000,0.990,,,,0.000000,869,4212.00,0.55,0.57,,4.72
Kepler-303 b,1.93703298,,,,,,,,4066.55,0.62,0.64,-0.414,4.65
Kepler-303 b,1.93705500,0.024000,0.890,0.079,,,,,3944.00,0.48,,,4.77
Kepler-303 b,,,1.099,0.098,,,,,4045.00,0.60,0.64,,
Kepler-303 b,1.93703207,0.024500,0.950,,,,0.000000,794,3944.00,0.51,0.52,-0.360,4.74
Kepler-303 b,1.93702997,,,,,,,,4066.55,0.62,0.64,-0.414,4.65
Kepler-303 b,,,1.062,0.095,,,,,4045.00,0.59,,,
Kepler-303 b,1.93702900,0.024520,0.990,0.088,,,,790,3944.00,0.51,0.52,-0.360,
