TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
4299199,4299199.01,,,,,,,,,PC,,9.66502,0.006,115.707401,30.337055,-27.098,0.069,-22.379,0.061,2458850.05,.013,,,2.086617,0.010857,1920,10,3.864,1.272,,,,,,,,,5.165,.014,,,,,,,,,,,,,,,,,,,137.135,.7055,5970,123.728,4.41222,.0776746,1.07852,.0497035,2021-01-27 11:21:34,steuer,,93717,"Found with our in-house single transit finder; Sector 20"
4672985,4672985.01,,,,,,,,,PC,,10.9918,0.007,38.470678,-10.657383,43.218,0.062,-27.741,0.057,2458429.8573,.0017,,,8.93974,0.62991,8200,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.385,2.195,5735,122.188,4.30693,.0752105,1.17454,.0553769,2020-12-21 11:43:40,brahm,,92648,"WINE single transit"
4689632,4689632.01,,,,,,,,,PC,,17.0816,0.051,281.009573,-19.544855,-2.969,0.448,-2.591,0.404,2459207.149,.006,,,5.398651,0.149473,4960,137.66,2.4,0.555,,,,,,,,,2.616,.036,,,,,,,,,,,,,,,,,,,3764.45,2406.9,5281,171,4.00693,,1.56707,,2021-02-15 04:52:08,steuer,,94400,"Found with our in-house single transit finder"
4843495,4843495.01,,,,,,,,,PC,,9.67055,0.006,147.003946,30.17842,14.294,0.063,4.734,0.058,2458875.55,.01,,,0.470226,0.10315,433,95,8,0.6,,,,,,,,,2.5,.3,,,,,,,,,,,,,,,,,,,155.483,1.052,6347,134.741,4.45158,.0918711,1.10473,.0529649,2022-03-31 12:53:39,eisner,,113462,"PHT candidate. Two transits separated by ~757 d. Events are low S/N."
4918918,4918918.01,,,,,,,,,PC,,10.7818,0.008,148.37832,35.570548,-87.855,0.078,-177.216,0.071,2459612.88628,,3.89,,6.124508,,5625,,4.8,,,,,,.075,,18.45,,3.45,,,,,,,,,,.036,,,,,,,,1033386.58,,28.5321,.0512,3466,157,4.80761,.00448927,.420908,.0124246,2022-04-30 05:21:41,lekkas,,115196,"Values derived using lightkurve package."
5364106,5364106.01,,,,,,,,,PC,,11.0866,0.009,139.231123,-20.676234,-8.213,0.07,13.641,0.083,2459259.215,.004,,,1.738569,0.173732,1600,160,6.4,0.3,,,,,,,,,5.4,.4,,,,,,,,,,,,,,,,,,,299.679,3.4145,5964,131.187,4.27302,.0803521,1.26252,.0622311,2021-05-20 00:54:37,eisner,,97182,"PHT candidate. Single transit event."
5966772,5966772.01,,,,,,,,,PC,,10.4795,0.006,193.398197,-23.119791,-55.084,0.091,-73.352,0.117,2459331.1,.01,,,1.303666,0.271468,1200,250,,,,,,,,,,,2.8,.4,,,,,,,,,,,,,,,,,,,87.0611,.41,4677,130.555,4.56264,.0955044,.750312,.0567965,2021-10-14 03:50:08,eisner,,100854,"PHT candidate. Possible additional transit event in the FFIs at ~ 1587.95 TBJD."
6242388,6242388.01,,,,,,,,,PC,,12.3605,0.008,80.006785,19.415556,12.488,0.06,-7.175,0.043,2459484.972,.008,,,10.06788,0.814608,9230,750,2.867,0.496,,,,,,,,,22.476,.898,,,,,,,,,,,,,,,,,,,626.386,14.6805,5323,127.716,3.74064,.0854676,2.14096,.127435,2021-11-24 08:37:38,vogl,,102292,"Found with our in-house single transit finder; Sector 43"
6426639,6426639.01,,,,,,,,,PC,,11.4788,0.006,112.600441,-11.118528,16.69,0.067,-21.865,0.059,2458492.29,,1.58,,0.39099,,360.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.939,8.026,6138,128.164,4.15518,.0829865,1.4936,.0696483,2021-01-10 08:23:56,chiarello,,93113,"All data ontained using the LightKurve framework"
6515171,6515171.01,,,,,,,,,PC,,11.1481,0.006,112.767938,-6.44881,-23.765,0.052,4.197,0.038,2458493.44,,5.48,,0.009185,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.62,.894,5127,125.795,4.48273,.0841528,.882926,.0525829,2021-02-01 03:07:01,chiarello,,93760,"All Data obtained using the Light Kurve framework"
6517467,6517467.01,,,,,,,,,PC,,11.5345,0.006,112.858294,-6.468787,-4.342,0.056,-49.236,0.042,2458491.71,,1.33,,0.01709,,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.965,2.092,5680,128.829,4.55264,.0799851,.880798,.0447689,2021-02-01 03:25:06,chiarello,,93761,"All data obtained using the Light Kurve Framework"
7145074,7145074.01,,,,,,,,,PC,,11.1407,0.006,4.513159,-43.409677,-4.205,0.123,-22.153,0.145,2459111.52,.01,,,4.351654,0.108579,4000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.276,16.6085,5275.4,113.496,3.74688,.0901214,2.1024,.147311,2020-12-21 11:30:27,brahm,,92643,"WINE single transit"
7422496,7422496.01,4189.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431285,-44.098,0.042,-110.328,0.051,2458470.354,.05,0,,0.760281,0.32577,700,300,5.9,1,,,,,,,,,2.4,1,,,,,,,,,,,,,,,,,,,69.6026,.1272,5744,117.134,4.56261,.0761973,.879321,.0413869,2020-01-24 10:25:52,eisner,,15948,"Planet Hunters TESS candidate. Single transit event."
7548817,7548817.01,2583.01,,,,,,,,PC,,12.0453,0.007,272.267029,45.3369,7.682,0.035,5.014,0.039,2458687.08604,,4.520737,,9.666654,,8863.8,,4.5973,,,,.677,,.09336,,,,15.93452070934842,,,,,,,,,,,,,,,,,,,,566.189,6.399,6050,127.639,4.1419,.0810965,1.49494,.071583,2021-02-08 16:07:01,olmschenk,,93938,"Identification and vetting detailed in https://arxiv.org/abs/2101.10919."
7688647,7688647.01,,,,,,,,,PC,,15.5715,0.008,65.362323,-39.014165,-88.576,0.138,-101.684,0.183,2458439.188691608,.033514296487737696,1.9359409679607005,0.0066502390612748,20.009794,0.137478,18260.912569354325,126.61364188022007,0.8088380539602702,,,,.5409509160210442,.04220658602710695,.14808582838054124,.004513020522464136,20.142791625820205,.45858138835815326,2.713195397128773,.08268655172885105,,,,,,,,,.015729983809209494,.00035811708466625374,,,,,,,,,73.7926,.43295,3038,157,5.12906,.0359231,.167972,.00532643,2021-04-06 15:00:54,feliz,,96012,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
7984988,7984988.01,,,,,,,,,PC,,11.9218,0.007,157.19097,-4.136618,7.754,0.076,-2.859,0.075,2459275.0523,.0194,,,3.054462,0.935037,2809.31,860.83,5.8,5.41,,,,,,,,,4.84,.69,,,,,,,,,,,,,,,,,,,241.822,3.4605,5353.46,114.361,4.56337,.0780712,.834813,.0439522,2021-05-04 04:30:30,steuer,,96867,"Found with our in-house single transit finder"
8963901,8963901.01,,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.2775,,0.4847222,,157.14947,,134752.781321882,,1.86666666666667,,,,,,,,,,200.837113505247,,,,,,,,,,,,,,,,,,,,1465.31,107.12,6515,100,,,5.01577,,2019-12-29 08:24:43,lipponen,,8409,"new CTOI"
9099764,9099764.01,,,,,,,,,PC,,10.9202,0.006,60.140476,-5.576599,89.386,0.06,-46.912,0.042,2458462.6283,.0104,,,0.732728,0.455616,674.64,419.55,11.87,7.32,,,,,,,,,2.26,.62,,,,,,,,,,,,,,,,,,,129.484,.656,5036,128.467,4.55958,.0843617,.796388,.050005,2021-06-02 03:25:30,steuer,,97398,"Found with our in-house single transit finder"
9176290,9176290.01,,,,,,,,,PC,,10.5659,0.006,62.270417,-3.861213,60.1,0.059,28.452,0.052,2458443.2704,.0139,,,3.993485,0.036384,3671.38,33.51,2.13,0.85,,,,,,,,,4.45,.02,,,,,,,,,,,,,,,,,,,103.464,.44,5290,130.579,4.7418,.0812956,.672073,.0378895,2021-06-02 03:25:30,steuer,,97399,"Found with our in-house single transit finder"
9376051,9376051.01,,,,,,,,,PC,,9.97062,0.006,150.924045,39.005047,-6.17,0.075,-56.536,0.084,2458875.006,,,,1.771194,,1630,,6.864,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,168.06,1.6475,5961,123.669,4.35054,.0781307,1.15579,.0544095,2020-10-27 03:44:18,steuer,,36572,"Found with our in-house single transit finder; transit finder output attached under 'Files'"
9443323,9443323.01,,,,,,,,,PC,,12.1957,0.006,68.846509,56.868269,-10.883,0.072,11.862,0.064,2458818.026616,,4.013456,,8.347771,,7659.1,,3.9232000000000005,,,,.253,,.08574,,,,15.509751029188553,,,,,,,,,,,,,,,,,,,,515.59,12.4805,5679,165.385,4.07294,.08575,1.53012,.0837362,2021-02-08 16:07:01,olmschenk,,93939,"Identification and vetting detailed in https://arxiv.org/abs/2101.10919."
9567278,9567278.01,,,,,,,,,PC,,13.332,0.008,259.126274,30.224572,4.556,0.026,17.838,0.034,2458985.29944197,.00506968,3.37858548,0.00094536,34.08972,17.468119,30910,15960,2.757,0.179,,,.327,.203,.164,.00959,10.35,1.08,17.81,4.6,,,,,,,,,,,,,,,,,,,561.056,5.7245,5373.93,134.12,4.40719,,.999268,,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:B,NotCM?. Rp=(0.83-2.36)Rj. b=0.00-0.66 (3-97HDI)."
9632592,9632592.01,,,,,,,,,PC,,15.0179,0.007,357.198721,-7.86344,89.764,0.161,18.415,0.12,2458355.370710833,.06015835384596355,4.992112249368438,0.0428750436457772,21.537671,0.619032,19641.471067916376,569.9869127273224,1.4656857958351572,,,,.5511440700525534,.05124558171521615,.15724093688999982,.004623457568015897,29.796545310152972,1.2496241292282013,4.272192872965388,.1256180665239448,,,,,,,,,.034505806704614166,.001447123759071408,,,,,,,,,99.4005,.8364,3225,157,4.98753,.0129893,.249089,.00777591,2021-04-06 14:55:06,feliz,,95997,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
9707944,9707944.01,,,,,,,,,PC,,10.6939,0.007,358.005905,-9.349538,48.456,0.085,-25.363,0.078,2459107.485,.005,19.7357,0.0004,1.455862,0.228029,1340,210,5.09,0.38,,,,,,,,,4.1,.4,,,,,,,,,,,,,,,,,,,209.632,3.53,5985,127.829,4.44957,.0781593,1.03501,.0511357,2022-01-23 23:57:13,eisner,,107460,"PHT candidate. Two transits in sector 2, one in 29 and 1 in 42."
9907513,9907513.01,5590.01,,,,,,,,PC,,11.9639,0.006,110.689677,37.667511,-22.895,0.068,-43.138,0.062,2458843.63616,.0012205,1.2736135,0.0001245,1.266272,0.042127,1165.6,38.8,1.055,0.076,,,.76,.075,,,,,2.733,.292,,,419.8,,1153,,,,.02098,,,,,,,,,,136.242,.882,4216.67,132.921,4.47894,.117494,.775062,.077103,2021-10-31 16:41:29,spencer,,101291,"From Sector 20 SPOC FFIs"
9989136,9989136.01,,,,,,,,,PC,,8.5446,0.006,111.255818,37.231122,-27.643,0.102,14.349,0.083,2458848.68233,.01665,6.188133,0.006877,0.850356,0.023235,782.9,21.4,2.777,0.178,,,.183,.183,,,,,1.996,.1,,,60.98,,712,,,,.05999,,,,,,,,,,32.5102,.078,4645,128.105,4.62487,.0969687,.693766,.0532161,2021-10-30 14:55:06,spencer,,101274,"From Sector 20 SPOC FFIs; good potential Level 1 planet"
10697188,10697188.01,,,,,,,,,PC,,9.38696,0.006,29.025266,60.580447,87.044,0.024,-47.837,0.043,2458794.73,,5.44,,1.408418,,1296.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.469,.423,5920,130.871,4.41811,.0791326,1.0624,.0505126,2021-04-12 13:44:41,chiarello,,96244,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS"
10697190,10697190.01,,,,,,,,,PC,,8.72959,0.006,29.030078,60.580766,88.812,0.025,-47.225,0.046,2458794.73,,5.44,0.2,1.408418,,1296.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.667,.4565,6112,136.469,4.22111,.0838895,1.37786,.062412,2021-04-12 13:56:15,chiarello,,96245,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS"
10747470,10747470.01,,,,,,,,,PC,,9.72577,0.006,212.252809,51.086496,-31.582,0.034,17.487,0.037,2458739.4155,,1.977093,0.000238,0.292863,0.022041,269.7,20.3,2.067,0.107,,,,,,,,,3.78,.14,,,4457,,2082,,,,.0342,,,,,,,,,,275.69,2.103,6176.61,129.695,3.90825,.0859421,1.99917,.0960829,2020-01-02 17:30:45,damboiu,,8505,"Short period Neptune around a subgiant, low s2n"
10934226,10934226.01,,,,,,,,,PC,,12.872,0.007,42.793257,-1.338135,-12.405,0.081,-51.173,0.08,2458410.991922399,.051655842243803804,4.803357952447085,0.05045388970526555,2.830303,0.081027,2603.410872837726,74.62586432494315,1.249833882077343,,,,.5251712525190454,.20142790284504275,.05017246189677565,.005041445961110493,22.198020907579345,1.0646676472283163,2.144324215810467,.21546669723623513,,,,,,,,,.04043713122840706,.0019394569247797675,,,,,,,,,72.2218,.24465,3496,157,4.8342,.00292877,.391827,.0117338,2021-04-06 14:57:03,feliz,,96006,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
11356662,11356662.01,,,,,,,,,PC,,10.0162,0.006,85.072833,-4.384661,-7.255,0.066,-40.889,0.064,2458467.2741,.0055,3.24887,0.00117,0.768973,,708,,0.133,0.014,87.8,.63,.29,.15,.023,.002,7.64,.34,2.84,.42,,,,,,,.8,.18,,,,,,,,,,,162.166,1.2725,5850,134.214,4.35408,.079021,1.13194,.0553015,2020-08-10 07:20:18,montalto,,29308,"new CTOI, Montalto et al. (2020)"
11435037,11435037.01,,,,,,,,,PC,,9.5197,0.006,30.242486,60.637782,-9.087,0.028,-3.205,0.06,2458791.08,,0.53,0.8,0.062551,,57.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.175,.5875,6206,352.655,4.48509,.108928,1.03469,.0459572,2021-04-23 13:29:39,chiarello,,96567,"Camera 2, CCD 1, Column 1957, Row 1636, Sector 18"
11521555,11521555.01,2401.01,,,,,,,,PC,,9.0982,0.007,146.44726,-25.457737,-6.196,0.07,-7.534,0.071,2458515.692,.0047,5.86703,0.00077,2.787403,,2564,,0.17,0.007,80.12,1.48,.93,.01,.053,.007,5.42,.84,17.91,3.13,,,,,,,.09,.04,,,,,,,,,,,323.506,3.9455,6294,132.523,3.54625,.0862888,3.09644,.144573,2020-08-10 07:20:18,montalto,,29323,"new CTOI, Montalto et al. (2020)"
11755687,11755687.01,,,,,,,,,PC,,12.4821,0.006,90.643666,-0.57711,5.933,0.042,-40.68,0.043,2458468.685603,,3.052498,,17.061171,,15591.1,,2.3077,,,,.712,,.12369,,,,13.637709588652173,,,,,,,,,,,,,,,,,,,,363.66,3.033,5370,140.501,4.43994,.0820357,.962287,.0543518,2021-02-08 16:07:01,olmschenk,,93940,"Identification and vetting detailed in https://arxiv.org/abs/2101.10919."
12011437,12011437.01,,,,,,,,,PC,,12.038,0.006,146.644121,-32.795242,-3.464,0.051,-18.485,0.069,2458542.7187,.0081,2.43269,0.00131,4.769241,,4383,,0.11,0.006,89.57,.14,.06,.22,.052,.011,7.38,.34,6.58,1.76,,,,,,,1.29,.28,,,,,,,,,,,387.663,5.684,5732,134.684,4.31833,.0826397,1.15923,.0610804,2020-08-10 07:20:18,montalto,,29448,"new CTOI, Montalto et al. (2020)"
12090836,12090836.01,,,,,,,,,PC,,12.4733,0.012,91.465705,-2.67652,1.833,0.07,-2.471,0.074,2458470.350212,,3.19722,,11.727828,,10743.6,,3.7402999999999995,,,,.295,,.0987,,,,17.70796527512367,,,,,,,,,,,,,,,,,,,,680.471,20.783,6467.28,134.725,4.19821,.096493,1.51431,.0908191,2021-02-08 16:07:01,olmschenk,,93941,"Identification and vetting detailed in https://arxiv.org/abs/2101.10919."
12631674,12631674.01,,,,,,,,,PC,,11.1754,0.006,53.161433,-7.247842,-26.146,0.148,-0.66,0.151,2459168.112,.002,,,1.988717,0.130296,1830,120,2.28,0.024,,,,,,,,,4.612,.149,,,,,,,,,,,,,,,,,,,162.543,3.551,4824,134.242,4.34312,.0937192,.986457,.0725226,2021-02-02 05:04:51,steuer,,93778,"Found with our in-house single transit finder; Sector 31"
13072758,13072758.01,,,,,,,,,PC,,12.224,0.007,76.088398,-29.034181,5.254,0.036,6.585,0.038,2458455.59453,.0055,,,8.283111,0.358352,7600,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.877,9.4625,6313,120.949,4.21991,.0878122,1.43149,.0664522,2020-12-21 12:07:37,brahm,,92662,"WINE single transit"
13073396,13073396.01,,,,,,,,,PC,,13.1159,0.007,348.068661,-27.352971,233.589,0.069,-43.07,0.068,2458374.1524,.0049,,,14.584529,2.163355,13343.03,1990.54,2.27,0.58,,,,,,,,,4.83,.35,,,,,,,,,,,,,,,,,,,73.39,.275,3431,157,4.84276,.00251713,.382623,.0116209,2021-06-08 09:44:01,steuer,,97559,"Found with our in-house single transit finder"
13093071,13093071.01,,,,,,,,,PC,,11.5758,0.006,76.192443,-26.859155,-9.974,0.038,28.924,0.049,2458462.62092,.001,,,21.381005,0.543004,19500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.778,.9815,5217.13,115.4,4.5901,.0836357,.791468,.04299,2020-12-21 12:09:45,brahm,,92664,"WINE single transit"
13344668,13344668.01,,,,,,,,,PC,,12.673,0.006,78.719795,-29.729662,4.018,0.02,68.688,0.025,2458445.05,.1,,,33.070664,0.543004,30000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.809,.5095,4469,132.265,4.59352,.0955623,.700056,.0590402,2020-12-21 12:12:29,brahm,,92666,"WINE single transit"
13416465,13416465.01,,,,,,,,,PC,,14.02,0.069,305.41041,40.653186,-3.208,0.039,-5.474,0.045,2458688.66547,.11115,5.57761,0.05557,89.668086,,79269,,3.5,0.1,84.2,.9,1,.155,.282,.113,,,57.8,23.1,,,,,,,,,.086,.0006,,,,,,,,,1811.3,77.73,10489,131,3.85383,,3.22554,,2021-09-07 08:21:56,nardiello,,99696,"new CTOI likely member of NGC 6910, PATHOS-44 in Nardiello et al. (2021)"
13737885,13737885.01,3382.01,,,,,,,,PC,,11.5546,0.007,133.755772,-9.1652,0.098,0.062,-6.967,0.065,2458516.8579,.0024,4.46605,0.00075,4.432324,,4074,,0.22,0.009,85.61,1.22,.47,.1,.063,.008,6.16,.28,14.86,2.64,,,,,,,.22,.06,,,,,,,,,,,713.283,19.7345,6329,118.732,3.8661,.0879141,2.15993,.107136,2020-08-10 07:20:18,montalto,,29382,"new CTOI, Montalto et al. (2020)"
13866376,13866376.01,,,,,,,,,PC,,11.6154,0.036,305.685789,40.501474,-3.457,0.043,-6.098,0.039,2458686.47603,.0054,9.39725,0.00313,6.076466,,5581,,4.2,0.2,84.2,.2,.934,.025,.075,.01,,,30.1,4.1,,,,,,,,,.1575,.0018,,,,,,,,,1680.59,76.775,9976,125,,,10.62,,2021-09-07 08:21:56,nardiello,,99697,"new CTOI likely member of NGC 6910, PATHOS-45 in Nardiello et al. (2021)"
13875852,13875852.01,,,,,,,,,PC,,13.9693,0.038,305.760367,40.981787,-3.022,0.041,-5.384,0.037,2458684.09956,.00513,8.32997,0.00144,72.826992,,64876,,3.9,0.1,85.7,.7,.977,.155,.255,.115,,,50.9,22.9,,,,,,,,,.111,.0003,,,,,,,,,1636.2,65.16,7990,124,3.57117,,3.769,,2021-09-07 08:21:56,nardiello,,99698,"new CTOI likely member of NGC 6910, PATHOS-46 in Nardiello et al. (2021)"
14173089,14173089.01,,,,,,,,,PC,,13.988,0.006,78.1284,-36.39802,0.763,0.029,3.236,0.034,2458441.471462,,4.075562,,4.034918,,3709.4,,3.1126999999999994,,,,.002,,.05684,,,,7.53747072845802,,,,,,,,,,,,,,,,,,,,1078.61,21.12,6111,123,4.39005,,1.13334,,2021-02-08 16:07:01,olmschenk,,93942,"Identification and vetting detailed in https://arxiv.org/abs/2101.10919."
14440176,14440176.01,,,,,,,,,PC,,11.7702,0.006,132.428418,54.406213,-43.634,0.05,-7.465,0.04,2458842.92293,.004872,6.8606105,0.0046125,1.882125,0.036373,1732,33.5,2.783,0.035,,,.465,.09,,,,,3.475,.22,,,106.1,,818,,,,.0672,,,,,,,,,,211.297,1.403,5106.61,124.31,4.51655,.0846768,.846258,.0516508,2021-10-31 16:06:04,spencer,,101288,"From Sector 20 SPOC FFIs"
14611330,14611330.01,,,,,,,,,PC,,8.57805,0.006,111.482632,14.086301,-5.943,0.077,-19.614,0.066,2459220.1427,.0167,,,1.384142,0.002117,1274.03,1.95,4.6,3.98,,,,,,,,,9.05,.01,,,,,,,,,,,,,,,,,,,287.512,3.414,8406,132.731,4.02604,.071532,2.31875,.072201,2021-03-11 01:29:05,steuer,,95052,"Found with our in-house single transit finder"
